nMillisecondsElapsed,nBlue,nGreen,nRed,nAlpha,nIr
19152,0.403908027922892,0.500000949230325,0.411163100410839,0.415667240423404,0.233330583320071
19206,0.403838106151773,0.500000949230325,0.410814121891897,0.41542596461023,0.231348213902625
19275,0.404457563968861,0.500000941807115,0.411806599428431,0.416246270258912,0.232213857351423
19353,0.403929028574227,0.500000949230325,0.4108278656983,0.415652927069964,0.232321707317665
19404,0.500002011630631,0.411317715899915,0.416409622903776,0.404397509428966,0.233479057481004
19483,0.403899623509607,0.500000949230325,0.411439706248785,0.415765840250286,0.232532876227432
19539,0.500002011630631,0.411871003039651,0.416311292438834,0.404480417838411,0.231315024572115
19618,0.5,0.410496189821006,0.415130664783248,0.403297387956066,0.233342968847374
19672,0.410757032724645,0.415599631120048,0.403620273662648,0.500003117960948,0.233842905782105
19739,0.500002074839984,0.411237602099639,0.415699858121177,0.404004334237121,0.234283638415753
19810,0.500002034517214,0.410915695367538,0.415619666904981,0.403774896389253,0.232954484909046
19879,0.500002989122265,0.411624683126,0.416316882702353,0.404397896804705,0.234023294439282
19941,0.500002989122265,0.411677433065472,0.416412156575572,0.404550177466023,0.23496424622731
20010,0.410940323008739,0.415649190093398,0.40371457182111,0.500003117960948,0.235071934574803
20084,0.500002989122265,0.411720632110354,0.416612255755421,0.404492377178198,0.235142820354172
20141,0.500003008403187,0.411460754475342,0.416107542829015,0.404255373479668,0.232538004903894
20211,0.415290312340471,0.403318895871292,0.500002146157624,0.410416944955142,0.233912316449402
20276,0.415188514449654,0.40354669275762,0.500002146157624,0.410745089690715,0.234437402589138
20350,0.415143667430752,0.40349111008656,0.500002146157624,0.410485864590591,0.235285146330691
20410,0.5,0.410585281888321,0.415752218958553,0.40369271653715,0.233581315949029
20479,0.415335833438947,0.403752459551061,0.500002146157624,0.410523014657737,0.233892176104136
20539,0.415011340282562,0.403217097299745,0.500002146157624,0.410694222340478,0.234062976483076
20608,0.5,0.410900047076139,0.415674857039009,0.404037311667304,0.233519627069672
20683,0.5,0.410620808619842,0.41580504500039,0.403549952406046,0.23307208239068
20738,0.415285302563953,0.403704998722465,0.500002146157624,0.410898662402752,0.234135934752079
20809,0.5,0.410584950654645,0.415915838548761,0.403579720966209,0.23411934190815
20875,0.5,0.410750143571083,0.4155409695645,0.404048847564498,0.235353755210917
20943,0.5,0.41060427274308,0.41551349105723,0.403486412918573,0.23364744095986
21011,0.5,0.410402587634656,0.415537515005745,0.403496695517978,0.233806732540443
21083,0.5,0.410845381019469,0.415775428733914,0.404031564074693,0.235693067855351
21140,0.5,0.411171528307914,0.415534353959501,0.403999451207067,0.236210453208839
21213,0.5,0.41110495723076,0.415604114225814,0.404202692330203,0.234259643019872
21275,0.41075579307122,0.415479504463738,0.40372876085128,0.50000105482043,0.234745397984732
21346,0.5,0.410741600099155,0.415590321494754,0.403518379833434,0.232795120132318
21406,0.5,0.410844559076064,0.415309016478516,0.403500204492847,0.234281839138032
21473,0.500002034517214,0.410627786754371,0.41559680693442,0.404104717716101,0.234981743689204
21540,0.410842559197536,0.415415474028163,0.403838047192417,0.500003117960948,0.233873284218977
21615,0.411426991967017,0.416179645538411,0.404506441060839,0.500002031344195,0.23394111965757
21675,0.500002034517214,0.410988668011195,0.415813439369207,0.40382756966704,0.234212197710893
21743,0.5,0.410978209662706,0.41517251600201,0.40351530699052,0.233489720688925
21868,0.5,0.411096185045529,0.415555458518981,0.403741212875267,0.233210466480108
21942,0.5,0.411032184160339,0.415508434251804,0.403382023253455,0.233891285156509
22011,0.50000212412975,0.410841754653144,0.41570408763763,0.403523430559125,0.23349240570552
22077,0.5,0.410630047757465,0.415249289500394,0.403342145300174,0.234838515482175
22146,0.5,0.410872218156965,0.415427513769018,0.403626681661744,0.233348708190855
22209,0.41038499703167,0.415611867459487,0.403838892250054,0.500003117960948,0.234831489014342
